stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding,location_type,parent_station
PG699,,PG699-Parada 2 / Est. 5 Pinos,-33.62461334211249,-70.70166888853646,,0,,
PG700,,PG700-Avenida Portales / esq. El Salitre,-33.62647899974702,-70.70242799990783,,0,,
PG1763,,PG1763-Avenida Portales / esq. Frida Khalo,-33.628787056004604,-70.70339297393814,,0,,
PG1745,,PG1745-Parada 2 / Est.Nos,-33.63325999956482,-70.70577900008536,,0,,
PG702,,PG702-Avenida Portales / esq. García de La Huerta,-33.63477500025304,-70.70654599972931,,0,,
PG703,,PG703-Avenida Portales / esq. Regina Gálvez,-33.637437000388374,-70.70771300053453,,0,,
PG1605,,PG1605-Avenida Portales / esq. Robert Kennedy,-33.640058999579736,-70.70843299945379,,0,,
PG1702,,PG1702-Avenida Portales / esq. Enrique Lynch,-33.64182832829384,-70.70912086351913,,0,,
PG1607,,PG1607-Av. Pdte. J. Alessandri R. / esq. Carlos Alegría,-33.64449999965908,-70.71102099969005,,0,,
PG1615,,PG1615-Av. Pdte. J. Alessandri R. / esq. Julio Zúñiga,-33.6412080004313,-70.71146899971257,,0,,
PG1574,,PG1574-Av. Pdte. J. Alessandri R. / esq. Regina Gálvez,-33.638580000192306,-70.71187900003622,,0,,
PG728,,PG728-Parada 1 / Est.Nos,-33.633265991749376,-70.70551795273504,,0,,
PG729,,PG729-Avenida Portales / esq. Leonardo Da Vinci,-33.62904800030952,-70.70338700033335,,0,,
PG1764,,PG1764-Avenida Portales / esq. Paulo Freire,-33.62658400000849,-70.70236399949933,,0,,
PG730,,PG730-Parada 1 / Est. 5 Pinos,-33.624522098581174,-70.7015472200861,,0,,
PG731,,PG731-Parada 3 / Est. 5 Pinos,-33.62241809383607,-70.70062088353222,,0,,
PG732,,PG732-Avenida Portales / esq. Avenida Central,-33.61876200017395,-70.69919600048979,,0,,
PG1637,,PG1637-Mateo de Toro y Z. / esq. Agustín Venegas Y.,-33.61555200250202,-70.6984211393393,,0,,
PG1894,,PG1894-Mateo de Toro y Z. / esq. Augusto Carozzi P.,-33.614926863531636,-70.70011387067308,,0,,
