pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional
CA-8,CA-Servicios-1-ZP,CA-Servicios-1-ZNP,7,0
CA-9,CA-Servicios-1-ZP,CA-L2-V1,2,1
CA-10,CA-Servicios-1-ZP,CA-L2-V2,2,1
CA-11,CA-Servicios-1-ZP,CA-Combinacion-3,2,1
CA-12,CA-L2-V1,CA-Combinacion-3,2,1
CA-13,CA-L2-V2,CA-Combinacion-3,2,1
CA-14,CA-Combinacion-3,CA-Intermedio-4,2,1
CA-15,CA-Intermedio-4,CA-L3-V1,2,1
CA-16,CA-Intermedio-4,CA-L3-V2,2,1
LC-1,LC-D,LC-Intermedio-1,2,1
LC-2,LC-E,LC-Intermedio-1,2,1
LC-3,LC-Intermedio-1,LC-Boleteria-2-ZNP,2,1
LC-4,LC-Boleteria-2-ZNP,LC-Boleteria-2-ZP,6,0
LC-5,LC-Boleteria-2-ZP,LC-Boleteria-2-ZNP,7,0
LC-6,LC-Boleteria-2-ZP,LC-L2-V1,2,1
LC-7,LC-Boleteria-2-ZP,LC-L2-V2,2,1
LCI-1,LCI-A,LCI-Boleteria-1-ZNP,2,1
LCI-2,LCI-B,LCI-Boleteria-1-ZNP,2,1
LCI-3,LCI-C,LCI-Boleteria-1-ZNP,2,1
LCI-4,LCI-F,LCI-Boleteria-1-ZNP,2,1
LCI-5,LCI-G,LCI-Boleteria-1-ZNP,2,1
LCI-6,LCI-Boleteria-1-ZNP,LCI-Boleteria-2-ZP,6,0
LCI-7,LCI-Boleteria-2-ZP,LCI-Boleteria-1-ZNP,7,0
LCI-8,LCI-Boleteria-2-ZP,LCI-L4A-V1,2,1
LCI-9,LCI-Boleteria-2-ZP,LCI-L4A-V2,2,1
LC-LCI-1,LC-L2-V1,LCI-Boleteria-2-ZP,2,1
LC-LCI-2,LC-L2-V2,LCI-Boleteria-2-ZP,2,1
LC-LCI-3,LC-Boleteria-2-ZNP,LCI-Boleteria-1-ZNP,2,1
AN-1,AN-A,AN-Boleteria-ZNP,1,1
AN-2,AN-C,AN-Boleteria-ZNP,1,1
AN-3,AN-Boleteria-ZNP,AN-Boleteria-ZP,6,0
AN-4,AN-Boleteria-ZP,AN-Boleteria-ZNP,7,0
AN-5,AN-Boleteria-ZP,AN-L2-V1,2,1
AN-6,AN-Boleteria-ZP,AN-L2-V2,2,1
NA-1,NA-B,NA-Boleteria-1-ZNP,2,1
NA-2,NA-D,NA-Boleteria-1-ZNP,2,1
NA-3,NA-Boleteria-1-ZNP,NA-Boleteria-1-ZP,6,0
NA-4,NA-Boleteria-1-ZP,NA-Boleteria-1-ZNP,7,0
NA-5,NA-Boleteria-1-ZP,NA-L5-V1,2,1
NA-6,NA-Boleteria-1-ZP,NA-L5-V2,2,1
AN-NA-1,AN-L2-V1,NA-L5-V1,2,1
AN-NA-2,AN-L2-V2,NA-L5-V2,2,1
FR-1,FR-A,FR-Boleteria-1-ZNP,2,1
FR-2,FR-Boleteria-1-ZNP,FR-Boleteria-1-ZP,6,0
FR-3,FR-Boleteria-1-ZP,FR-Boleteria-1-ZNP,7,0
FR-4,FR-Boleteria-1-ZP,FR-L2-V1,2,1
FR-5,FR-Boleteria-1-ZP,FR-L2-V2,2,1
FRA-1,FRA-B,FRA-Boleteria-1-ZNP,2,1
FRA-2,FRA-Boleteria-1-ZNP,FRA-Boleteria-1-ZP,6,0
FRA-3,FRA-Boleteria-1-ZP,FRA-Boleteria-1-ZNP,7,0
FRA-4,FRA-Boleteria-1-ZP,FRA-Intermedio-2,2,1
FRA-5,FRA-Intermedio-2,FRA-Intermedio-3,2,1
FRA-6,FRA-Intermedio-3,FRA-L6-V1,2,1
FRA-7,FRA-Intermedio-3,FRA-L6-V2,2,1
FR-FRA-1,FR-Boleteria-1-ZP,FRA-Boleteria-1-ZP,1,1
FR-FRA-2,FR-L2-V2,FRA-Intermedio-2,1,1
PZE-1,PZE-A,PZE-Boleteria-ZNP,2,1
PZE-2,PZE-Boleteria-ZNP,PZE-Boleteria-ZP,6,0
PZE-3,PZE-Boleteria-ZP,PZE-Boleteria-ZNP,7,0
PZE-4,PZE-Boleteria-ZP,PZE-Intermedio-2,2,1
PZE-5,PZE-Intermedio-2,PZE-Intermedio-3,2,1
PZE-6,PZE-Intermedio-3,PZE-Intermedio-4,4,0
PZE-7,PZE-Intermedio-4,PZE-Intermedio-3,4,0
PZE-8,PZE-Intermedio-4,PZE-L3-V1,2,1
PZE-9,PZE-Intermedio-4,PZE-L3-V2,2,1
PEG-1,PEG-B,PEG-Boleteria-ZNP,2,1
PEG-2,PEG-Boleteria-ZNP,PEG-Boleteria-ZP,6,0
PEG-3,PEG-Boleteria-ZP,PEG-Boleteria-ZNP,7,0
PEG-4,PEG-Boleteria-ZP,PEG-L4-V1,2,1
PEG-5,PEG-Boleteria-ZP,PEG-L4-V2,2,1
PZE-PEG-1,PEG-Boleteria-ZP,PZE-Intermedio-2,1,1
PZE-PEG-2,PEG-L4-V1,PZE-Intermedio-3,1,1
IRA-1,IRA-D,IRA-Boleteria-2-ZNP,2,1
IRA-2,IRA-Boleteria-2-ZNP,IRA-Boleteria-2-ZP,6,0
IRA-3,IRA-Boleteria-2-ZP,IRA-Boleteria-2-ZNP,7,0
IRA-4,IRA-Boleteria-2-ZP,IRA-Intermedio-3,2,1
IRA-5,IRA-Intermedio-3,IRA-Intermedio-4,2,1
IRA-6,IRA-Intermedio-4,IRA-L3-V1,2,1
IRA-7,IRA-Intermedio-4,IRA-L3-V2,2,1
IR-1,IR-A,IR-Boleteria-ZNP,2,1
IR-2,IR-B,IR-Boleteria-ZNP,2,1
IR-3,IR-C,IR-Boleteria-ZNP,2,1
IR-4,IR-Boleteria-ZNP,IR-Boleteria-ZP,6,0
IR-5,IR-Boleteria-ZP,IR-Boleteria-ZNP,7,0
IR-6,IR-Boleteria-ZP,IR-L5-V1,2,1
IR-7,IR-Boleteria-ZP,IR-L5-V2,2,1
IR-8,IR-L5-V1,IR-Intermedio-1-Oeste,2,1
IR-9,IR-Intermedio-1-Oeste,IR-Intermedio-1-Este,1,1
IRA-IR-1,IR-L5-V2,IRA-Boleteria-2-ZP,1,1
IRA-IR-2,IR-Intermedio-1-Este,IRA-Boleteria-2-ZP,2,1
PZA-1,PZA-E,PZA-Boleteria-ZNP,1,1
PZA-2,PZA-Boleteria-ZNP,PZA-Boleteria-ZP,6,0
PZA-3,PZA-Boleteria-ZP,PZA-Boleteria-ZNP,7,0
PZA-4,PZA-Boleteria-ZP,PZA-Intermedio-1,2,1
PZA-5,PZA-Intermedio-1,PZA-Intermedio-2,2,1
PZA-6,PZA-Intermedio-2,PZA-Intermedio-3,2,1
PZA-7,PZA-Intermedio-3,PZA-L3-V1,2,1
PZA-8,PZA-Intermedio-3,PZA-L3-V2,2,1
PZ-1,PZ-A,PZ-Boleteria-Oeste-ZNP,2,1
PZ-2,PZ-D,PZ-Boleteria-Oeste-ZNP,2,1
PZ-3,PZ-Boleteria-Oeste-ZNP,PZ-Boleteria-ZP,6,0
PZ-4,PZ-Boleteria-ZP,PZ-Boleteria-Oeste-ZNP,7,0
PZ-5,PZ-B,PZ-Boleteria-Este-ZNP,2,1
PZ-6,PZ-C,PZ-Boleteria-Este-ZNP,2,1
PZ-7,PZ-Boleteria-Este-ZNP,PZ-Boleteria-ZP,6,0
PZ-8,PZ-Boleteria-ZP,PZ-Boleteria-Este-ZNP,7,0
PZ-9,PZ-Boleteria-ZP,PZ-L5-V1,2,1
PZ-10,PZ-Boleteria-ZP,PZ-L5-V2,2,1
PZ-11,PZ-Boleteria-ZP,PZ-Intermedio-3,2,1
